order_id,customer_id,category,payment_method,price,order_hour,is_weekend,discount_percent,customer_account_age_days,customer_past_orders,customer_past_return_rate,variants_in_order,returned
ORD10000,CUST1025,Footwear,Wallet,2733.18,23,0,0,319,14,0.2,1,0
ORD10001,CUST1540,Home & Kitchen,COD,1503.02,20,0,10,820,32,0.16,1,0
ORD10002,CUST1430,Footwear,UPI,4925.59,14,0,20,557,2,0.1,1,0
ORD10003,CUST1297,Electronics,Netbanking,6119.58,2,1,20,267,20,0.18,1,0
ORD10004,CUST1221,Home & Kitchen,COD,1342.47,18,0,0,185,8,0.66,1,1
ORD10005,CUST1414,Footwear,COD,5085.75,19,1,0,69,29,0.16,2,0
ORD10006,CUST1027,Footwear,COD,363.1,1,0,0,495,38,0.02,1,1
ORD10007,CUST1338,Footwear,Wallet,5686.87,22,0,0,682,25,0.1,1,0
ORD10008,CUST1028,Home & Kitchen,Wallet,2395.09,16,0,0,525,16,0.63,1,0
ORD10009,CUST1327,Footwear,COD,6346.12,13,1,0,547,31,0.06,1,0
ORD10010,CUST1175,Home & Kitchen,COD,4915.94,11,1,5,493,2,0.08,1,0
ORD10011,CUST1373,Apparel,Card,4044.95,21,1,30,632,39,0.09,1,0
ORD10012,CUST1597,Apparel,UPI,2727.64,18,0,10,858,25,0.02,1,0
ORD10013,CUST1064,Apparel,Netbanking,363.08,22,0,20,715,33,0.13,1,0
ORD10014,CUST1330,Apparel,Netbanking,6280.16,7,0,5,525,30,0.01,1,1
ORD10015,CUST1299,Electronics,COD,316.96,11,0,20,530,22,0.06,1,1
ORD10016,CUST1166,Apparel,Netbanking,5483.81,6,0,20,341,8,0.12,1,1
ORD10017,CUST1512,Footwear,Netbanking,6570.64,11,0,10,239,21,0.25,1,0
ORD10018,CUST1229,Electronics,UPI,2510.29,12,1,0,876,26,0.21,1,0
ORD10019,CUST1195,Electronics,Wallet,5532.54,22,0,10,456,0,0.22,1,0
ORD10020,CUST1232,Beauty,Card,780.2,7,0,5,386,38,0.08,1,0
ORD10021,CUST1317,Apparel,COD,4231.11,2,0,0,461,24,0.24,2,1
ORD10022,CUST1398,Apparel,Netbanking,4586.78,13,0,20,419,12,0.04,1,0
ORD10023,CUST1177,Apparel,Netbanking,6007.75,7,0,0,453,11,0.22,1,0
ORD10024,CUST1344,Beauty,Wallet,339.21,7,0,0,820,9,0.11,1,0
ORD10025,CUST1318,Electronics,Card,7670.92,17,0,30,700,32,0.07,1,0
ORD10026,CUST1229,Footwear,UPI,2881.82,23,0,0,876,26,0.21,1,0
ORD10027,CUST1167,Home & Kitchen,COD,6479.14,23,1,30,726,39,0.23,1,1
ORD10028,CUST1044,Beauty,COD,3186.23,21,1,30,427,21,0.1,1,0
ORD10029,CUST1036,Footwear,Wallet,2375.36,6,0,0,19,30,0.23,4,1
ORD10030,CUST1296,Apparel,Netbanking,7493.94,10,0,0,435,30,0.74,1,1
ORD10031,CUST1124,Beauty,COD,580.24,0,0,20,507,26,0.07,1,0
ORD10032,CUST1151,Beauty,Wallet,1606.88,16,1,30,219,38,0.02,1,0
ORD10033,CUST1244,Home & Kitchen,Card,3978.99,1,1,0,710,3,0.05,1,0
ORD10034,CUST1230,Home & Kitchen,Wallet,3130.37,5,0,30,539,21,0.13,1,0
ORD10035,CUST1068,Footwear,COD,1466.07,1,0,0,352,29,0.08,1,1
ORD10036,CUST1088,Apparel,Card,6801.76,19,0,0,364,15,0.15,1,1
ORD10037,CUST1184,Footwear,Netbanking,1074.8,6,1,20,896,10,0.1,1,1
ORD10038,CUST1548,Home & Kitchen,Netbanking,1367.0,18,0,0,202,13,0.17,1,0
ORD10039,CUST1040,Beauty,UPI,1708.31,10,0,10,813,21,0.09,1,0
ORD10040,CUST1401,Electronics,Wallet,2430.5,21,1,10,121,18,0.03,1,0
ORD10041,CUST1110,Apparel,COD,2419.14,9,1,0,350,16,0.07,1,0
ORD10042,CUST1190,Home & Kitchen,COD,6171.13,3,0,0,193,26,0.05,1,0
ORD10043,CUST1370,Beauty,Wallet,5478.03,18,0,20,800,11,0.2,1,0
ORD10044,CUST1239,Home & Kitchen,COD,7690.65,4,1,10,1,18,0.06,1,1
ORD10045,CUST1063,Home & Kitchen,Wallet,2381.58,10,0,10,732,2,0.61,1,0
ORD10046,CUST1030,Electronics,Card,3051.72,22,0,20,71,8,0.06,1,0
ORD10047,CUST1570,Beauty,COD,5921.45,3,1,0,81,7,0.11,1,0
ORD10048,CUST1480,Beauty,UPI,708.94,22,0,10,625,5,0.14,1,0
